Antier;Ayer;Hoy;Manana
315.26001;313.850006;325.920013;332.890015
313.850006;325.920013;332.890015;331.209991
325.920013;332.890015;331.209991;328.390015
332.890015;331.209991;328.390015;332.579987
331.209991;328.390015;332.579987;335.399994
328.390015;332.579987;335.399994;335.940002
332.579987;335.399994;335.940002;333.679993
335.399994;335.940002;333.679993;323.380005
335.940002;333.679993;323.380005;325.26001
333.679993;323.380005;325.26001;326.790009
323.380005;325.26001;326.790009;331.850006
325.26001;326.790009;331.850006;334.290009
326.790009;331.850006;334.290009;337.339996
331.850006;334.290009;337.339996;348.100006
334.290009;337.339996;348.100006;342.329987
337.339996;348.100006;342.329987;338.049988
348.100006;342.329987;338.049988;333.559998
342.329987;338.049988;333.559998;339.709991
338.049988;333.559998;339.709991;335.019989
333.559998;339.709991;335.019989;328.600006
339.709991;335.019989;328.600006;334.570007
335.019989;328.600006;334.570007;335.850006
328.600006;334.570007;335.850006;335.049988
334.570007;335.850006;335.049988;340.540009
335.850006;335.049988;340.540009;337.98999
335.049988;340.540009;337.98999;338.149994
340.540009;337.98999;338.149994;341.269989
337.98999;338.149994;341.269989;337.220001
338.149994;341.269989;337.220001;331.829987
341.269989;337.220001;331.829987;332.470001
337.220001;331.829987;332.470001;337.200012
331.829987;332.470001;337.200012;342.660004
332.470001;337.200012;342.660004;345.23999
337.200012;342.660004;345.23999;345.730011
342.660004;345.23999;345.730011;359.48999
345.23999;345.730011;359.48999;355.079987
345.730011;359.48999;355.079987;346.869995
359.48999;355.079987;346.869995;343.769989
355.079987;346.869995;343.769989;345.109985
346.869995;343.769989;345.109985;350.980011
343.769989;345.109985;350.980011;337.769989
345.109985;350.980011;337.769989;330.720001
350.980011;337.769989;330.720001;338.369995
337.769989;330.720001;338.369995;335.920013
330.720001;338.369995;335.920013;336.339996
338.369995;335.920013;336.339996;327.5
335.920013;336.339996;327.5;326.660004
336.339996;327.5;326.660004;327.779999
327.5;326.660004;327.779999;330.109985
326.660004;327.779999;330.109985;326.049988
327.779999;330.109985;326.049988;322.230011
330.109985;326.049988;322.230011;322.929993
326.049988;322.230011;322.929993;321.01001
322.230011;322.929993;321.01001;324.040009
322.929993;321.01001;324.040009;321.859985
321.01001;324.040009;321.859985;320.399994
324.040009;321.859985;320.399994;316.880005
321.859985;320.399994;316.880005;316.480011
320.399994;316.880005;316.480011;321.880005
316.880005;316.480011;321.880005;322.459991
316.480011;321.880005;322.459991;327
321.880005;322.459991;327;319.970001
322.459991;327;319.970001;322.980011
327;319.970001;322.980011;323.700012
319.970001;322.980011;323.700012;328.410004
322.980011;323.700012;328.410004;328.790009
323.700012;328.410004;328.790009;327.76001
328.410004;328.790009;327.76001;328.660004
328.790009;327.76001;328.660004;333.549988
327.76001;328.660004;333.549988;332.880005
328.660004;333.549988;332.880005;329.910004
333.549988;332.880005;329.910004;334.269989
332.880005;329.910004;334.269989;337.940002
329.910004;334.269989;337.940002;331.769989
334.269989;337.940002;331.769989;336.059998
337.940002;331.769989;336.059998;338.700012
331.769989;336.059998;338.700012;330.220001
336.059998;338.700012;330.220001;329.059998
338.700012;330.220001;329.059998;328.649994
330.220001;329.059998;328.649994;320.769989
329.059998;328.649994;320.769989;319.529999
328.649994;320.769989;319.529999;317.01001
320.769989;319.529999;317.01001;317.540009
319.529999;317.01001;317.540009;312.140015
317.01001;317.540009;312.140015;312.790009
317.540009;312.140015;312.790009;313.640015
312.140015;312.790009;313.640015;315.75
312.790009;313.640015;315.75;321.799988
313.640015;315.75;321.799988;313.390015
315.75;321.799988;313.390015;318.959991
321.799988;313.390015;318.959991;319.359985
313.390015;318.959991;319.359985;327.26001
318.959991;319.359985;327.26001;329.820007
319.359985;327.26001;329.820007;328.390015
327.26001;329.820007;328.390015;332.420013
329.820007;328.390015;332.420013;331.160004
328.390015;332.420013;331.160004;327.730011
332.420013;331.160004;327.730011;332.640015
331.160004;327.730011;332.640015;332.059998
327.730011;332.640015;332.059998;332.730011
